id,name,playName,wikidataId,normalizedGenre,libretto,firstAuthor,title,subtitle,numOfCoAuthors,maxDegreeIds,numOfSegments,numOfActs,numOfSpeakers,numOfSpeakersMale,numOfSpeakersFemale,numOfSpeakersUnknown,numOfPersonGroups,numOfP,numOfL,wikipediaLinkCount,wordCountText,wordCountSp,wordCountStage,yearWritten,yearPremiered,yearPrinted,yearNormalized,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,averageDegree,density,averageClustering,size,maxDegree,numConnectedComponents,numEdges,diameter,averagePathLength
ita000042,barbieri-l-inavertito,barbieri-l-inavertito,Q83893963,Comedy,False,Barbieri,L'inavertito,,0,scappino,72,5,13,10,3,0,1,1487,20,0.0,36180,34310,332,1629,,,1629,http://www.bibliotecaitaliana.it/testo/bibit001564,UTET,Torino,1982.0,,7.846153846153846,0.6538461538461531,0.852047952047952,13,12,1,51,2,1.346153846153846
fre000081,baro-clorise,baro-clorise,,Tragicomedy,False,Baro,La Clorise,Pastorale,0,alidor|philidan,27,5,8,5,3,0,0,0,1939,,17646,16173,188,,1697.0,1634.0,1634,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/BARO_CLORISE.xml', 'http://theatre-classique.fr/pages/documents/BARO_CLORISE.xml']",,,,,5.75,0.8214285714285711,0.94047619047619,8,7,1,23,2,1.178571428571428
ep000481,baron-mirza,baron-mirza,,,False,Baron,Mirza,,0,ep000481-beltazar|ep000481-pages|ep000481-mirza,5,10,27,21,9,0,5,534,3708,,86971,33442,899,,,1655.0,1655,https://texts.earlyprint.org/works/A31023.xml,,,,,22.962962962962962,0.883190883190883,0.93232772058859,27,26,1,310,2,1.116809116809116
ep000116,barry-ram-alley,barry-ram-alley,,Comedy,False,Barry,Ram Alley,,0,several characters,5,5,22,16,5,1,2,406,2470,,22856,22148,407,1608,,,1608,https://texts.earlyprint.org/works/A04881.xml,,,,,18.454545454545453,0.8787878787878781,0.9287018794758731,22,21,1,203,2,1.121212121212121
ita######,bartolommei-amore-opera-a-caso,bartolommei-amore-opera-a-caso,,Comedy,False,Bartolommei,Amore opera a caso,,0,several characters,58,3,8,5,3,0,0,1159,0,,22880,22376,395,,,1668.0,1668,https://books.google.de/books?id=wm7z5VLDs_wC,,,,,6.5,0.928571428571428,0.94047619047619,8,7,1,26,2,1.071428571428571
fre######,belyard-guisien,belyard-guisien,,Tragedy,False,Belyard,Le Guysien,ou Perfidie Tyrannique,0,choeur,5,5,12,6,5,1,3,0,2017,,15478,15420,18,,,1592.0,1592,https://books.google.de/books?id=3GJnAAAAcAAJ,,,,,5.833333333333333,0.53030303030303,0.7827260702260701,12,11,1,35,2,1.469696969696969
fre######,bienvenu-monde-malait,bienvenu-monde-malait,,Comedy,False,Bienvenu,Comédie du monde malade et mal pansé,,0,several characters,4,1,9,6,0,3,0,0,911,,6294,5907,469,,1568.0,,1568,https://books.google.de/books?id=raE-AAAAYAAJ,,,,,8.0,1.0,1.0,9,8,1,36,1,1.0
ita######,bonicelli-pantalone-bullo,bonicelli-pantalone-bullo,,Comedy,False,Bonicelli,Pantalone Bullo,overo La pusillanimità coverta,0,pantalone,52,3,20,16,4,0,0,445,63,,14749,13238,1609,,,1688.0,1688,https://www.usc.gal/goldoni/bancadati/34,,,,,4.7,0.24736842105263102,0.7415441176470581,20,17,1,47,3,1.784210526315789
ger######,braunschweig-fleischhawer,braunschweig-fleischhawer,,Comedy,False,Braunschweig-Lüneburg,Der Fleischhawer,,0,matz,27,5,22,19,3,0,0,215,330,,16437,16146,670,1593,,1885.0,1593,http://www.textgridrep.org/textgrid:pvpz.0,,,,,6.272727272727272,0.298701298701298,0.6762452194270371,22,13,1,69,3,1.8701298701298699
ger######,braunschweig-ungeratenen-sohn,braunschweig-ungeratenen-sohn,,Tragedy,False,Braunschweig-Lüneburg,Von einem ungeratenen Sohn,,0,nero,49,7,16,12,4,0,0,282,123,,18933,18249,2651,,,1594.0,1594,http://www.textgridrep.org/textgrid:pvq4.0,,,,,7.375,0.49166666666666603,0.8109126984126981,16,15,1,59,2,1.508333333333333
ita######,bregolini-pausania,bregolini-pausania,,Tragedy,False,Bregolini,Pausania,,0,several characters,32,5,21,15,6,0,0,0,2926,,16414,16104,68,,,1679.0,1679,https://books.google.de/books?id=pK5-jUqlVUYC,,,,,6.095238095238095,0.304761904761904,0.44024943310657505,21,11,2,64,5,2.01578947368421
span######,castro-mocedades-cid,castro-mocedades-cid,,,False,Castro,Las mocedades del Cid (I),,0,several characters,3,3,35,31,4,0,0,0,3273,,16672,15858,899,1605,,,1605,,,,,,22.0,0.647058823529411,0.8973444855797791,35,34,1,385,2,1.352941176470588
ita000051,cecchini-l-amico-tradito,cecchini-l-amico-tradito,Q84264636,Comedy,False,Cecchini,L'amico tradito,,0,several characters,66,3,12,9,3,0,0,635,0,0.0,13508,12645,666,,,1633.0,1633,http://www.bibliotecaitaliana.it/testo/bibit000920,UTET,Torino,1982.0,,6.5,0.59090909090909,0.788690476190476,12,9,2,39,2,1.290909090909091
ep000853,centlivre-the-man-s-bewitch-d,centlivre-the-man-s-bewitch-d,,,False,Centlivre,"The man's bewitch'd; or, the devil to do about her. A comedy, as it is acted at the New-Theatre in the Hay-Market; by Her Majesty's servants. By Susan",,0,several characters,12,5,19,14,5,0,1,1073,52,,26981,24092,716,,,1709.0,1709,https://texts.earlyprint.org/works/C03530.xml,,,,,14.31578947368421,0.7953216374269001,0.9235638114895081,19,18,1,136,2,1.204678362573099
span######,cervantes-cerco-numancia,cervantes-cerco-numancia,,Tragedy,False,de Cervantes Saavedra,El cerco de Numancia,,0,teogenes|marandro,4,4,46,32,8,6,2,0,2458,,16132,15175,1097,1585,,,1585,,,,,,17.782608695652176,0.39516908212560303,0.9148500049407181,46,39,1,409,3,1.6685990338164252
ita######,cicognini-mustafa,cicognini-mustafa,,,False,Cicognini,Il Mustafà,,0,carlo,56,3,20,16,3,1,0,824,60,,20934,20505,296,,,1663.0,1663,https://www.archive.org/details/bub_gb_cyIeh9UfrjAC,,,,,8.5,0.447368421052631,0.7809240759240761,20,14,3,85,3,1.516339869281045
fre000347,corneillep-rodogune,corneillep-rodogune,Q2161210,Tragedy,False,Corneille,"Rodogune, Princesse des Parthes",Tragédie,0,cleopatre|rodogune,26,5,7,4,3,0,0,0,1889,0.0,19574,17071,115,,1644.0,1647.0,1644,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_RODOGUNE.xml', 'http://theatre-classique.fr/pages/documents/CORNEILLEP_RODOGUNE.xml']",,,,,4.571428571428571,0.7619047619047611,0.847619047619047,7,6,1,16,2,1.2380952380952381
fre000383,corneillet-mort-d-achille,corneillet-mort-d-achille,,Tragedy,False,Corneille,La Mort d'Achille,Tragédie,0,briseis,25,5,8,4,4,0,0,0,1781,,16306,16103,9,,1673.0,1673.0,1673,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_MORTDACHILLE.xml', 'http://theatre-classique.fr/pages/documents/CORNEILLET_MORTDACHILLE.xml']",,,,,3.25,0.464285714285714,0.6125,8,6,1,13,3,1.642857142857142
span######,cruz-empenos-casa,cruz-empenos-casa,,Comedy,False,Cruz,Los empeños de una casa,,0,several characters,3,3,18,8,2,8,3,0,3498,,18334,17951,443,1683,,,1683,,,,,,15.222222222222221,0.8954248366013071,0.9477124183006531,18,17,1,137,2,1.104575163398692
fre000425,dalibray-soliman,dalibray-soliman,,Tragicomedy,False,Dalibray,Soliman,Tragi-Comédie.,0,soliman|rustan|mustapha,31,5,16,13,3,0,0,0,1749,,24694,15313,0,,1637.0,1768.0,1637,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DALIBRAY_SOLIMAN.xml', 'http://theatre-classique.fr/pages/documents/DALIBRAY_SOLIMAN.xml']",,,,,8.25,0.55,0.8188148656898651,16,13,1,66,2,1.45
fre000432,dancourt-chevalier-a-la-mode,dancourt-chevalier-a-la-mode,,Comedy,False,Dancourt,Le Chevalier à la Mode,Comédie en un Acte,0,madame-patin,47,5,11,7,4,0,0,1041,8,,24226,23795,59,,1687.0,1687.0,1687,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DANCOURT_CHEVALIERALAMODE.xml', 'http://theatre-classique.fr/pages/documents/DANCOURT_CHEVALIERALAMODE.xml']",,,,,6.363636363636363,0.636363636363636,0.8501443001443001,11,10,1,35,2,1.363636363636363
fre000466,dancourt-parisienne,dancourt-parisienne,,Comedy,False,Dancourt,La Parisienne,Comédie en un Acte,0,several characters,25,1,9,6,3,0,0,449,0,,7980,7760,9,,1691.0,1691.0,1691,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DANCOURT_PARISIENNE.xml', 'http://theatre-classique.fr/pages/documents/DANCOURT_PARISIENNE.xml']",,,,,6.444444444444445,0.805555555555555,0.8888888888888881,9,8,1,29,2,1.194444444444444
ep000360,daniel-cleopatra,daniel-cleopatra,,Tragedy,False,Daniel,Cleopatra,,0,ep000360-chorus|ep000360-caesar|ep000360-seleucus,12,5,13,9,1,1,1,0,1589,,14838,12458,3,1594,,,1594,https://texts.earlyprint.org/works/A19816_03.xml,,,,,2.461538461538461,0.205128205128205,0.36923076923076903,13,5,3,16,4,1.763157894736842
ep000359,daniel-philotas,daniel-philotas,,Tragedy,False,Daniel,Philotas,,0,ep000359-craterus,12,5,25,21,2,1,2,0,2134,,18836,17373,66,1605,,,1605,https://texts.earlyprint.org/works/A19812_02.xml,,,,,7.52,0.313333333333333,0.766164502164502,25,15,1,94,4,2.036666666666666
ita000059,de-dottori-aristodemo,de-dottori-aristodemo,Q3622694,Tragedy,False,Dottori,Aristodemo,,0,policare|coro,34,5,12,7,4,1,1,0,3113,0.0,18682,18472,98,1657,,1670.0,1657,http://www.bibliotecaitaliana.it/testo/bibit000416,UTET,Torino,,,5.0,0.45454545454545403,0.6765873015873011,12,8,1,30,3,1.651515151515151
ita######,decio-acripanda,decio-acripanda,,Tragedy,False,Decio,Acripanda,,0,coro,26,5,12,6,5,1,2,0,4462,,29653,29482,76,,,1592.0,1592,https://archive.org/details/teatroitalianoa00pogggoog,,,,,4.0,0.36363636363636304,0.7449735449735451,12,10,2,24,2,1.563636363636363
ep000378,dekker-if-it-be-not-good-the-devil-is-in-it,dekker-if-it-be-not-good-the-devil-is-in-it,,Comedy,False,Dekker,"If It Be Not Good, the Devil Is in It",,0,ep000378-shacklesoul,10,0,54,44,2,7,5,129,2499,,24829,22983,778,1611,,,1611,https://texts.earlyprint.org/works/A20066.xml,,,,,24.0,0.452830188679245,0.8582774842418811,54,53,1,648,2,1.547169811320754
ep000235,dekker-the-noble-spanish-soldier,dekker-the-noble-spanish-soldier,Q7754258,Tragedy,False,Dekker,The Noble Spanish Soldier,,0,several characters,14,5,20,18,2,0,0,139,1579,0.0,15647,14954,435,1622,,,1622,https://texts.earlyprint.org/works/A11145.xml,,,,,17.0,0.894736842105263,0.9405787753697971,20,19,1,170,2,1.105263157894737
ita######,della-porta-carbonaria,della-porta-carbonaria,,Comedy,False,Della Porta,La carbonaria,,0,pirino|forca,38,5,12,11,1,0,0,1212,0,,28536,28279,127,,,1601.0,1601,https://it.wikisource.org/wiki/La_carbonaria,,,,,7.0,0.636363636363636,0.823743386243386,12,10,1,42,3,1.393939393939394
ep000514,denham-the-sophy,denham-the-sophy,,Tragedy,False,Denham,The Sophy,,0,several characters,6,5,22,19,2,0,2,0,2414,,19621,19105,381,1642,,,1642,https://texts.earlyprint.org/works/A35657.xml,,,,,14.818181818181818,0.705627705627705,0.870404743019434,22,21,1,163,2,1.294372294372294
span######,diamante-hercules-ocana,diamante-hercules-ocana,,,False,Diamante,El Hercules de Ocaña,,0,cespedes,17,3,39,23,6,10,2,0,3365,,16625,16143,717,,,1670.0,1670,"['https://books.google.de/books?id=wLxdAAAAcAAJ', 'https://books.google.com/books?id=BwZGAAAAcAAJ']",,,,,10.051282051282051,0.264507422402159,0.8737149326515841,39,37,1,196,3,1.736842105263158
ita000062,dolce-marianna,dolce-marianna,Q84031425,Tragedy,False,Dolce,Marianna,,0,erode,23,5,17,11,5,1,1,0,3092,0.0,23356,21966,66,,,1565.0,1565,http://www.bibliotecaitaliana.it/testo/bibit001117,R. Ricciardi,Milano [ecc.],1988.0,,4.666666666666667,0.33333333333333304,0.716829466829466,15,13,1,35,3,1.685714285714285
fre000583,du-ryer-clitophon,du-ryer-clitophon,,Tragicomedy,False,Du Ryer,Clitophon,Tragi-Comédie,0,clitophon,58,0,25,21,4,0,0,0,1968,,17667,17064,0,,1629.0,1632.0,1629,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_CLITOPHON.xml', 'http://theatre-classique.fr/pages/documents/DURYER_CLITOPHON.xml']",,,,,5.28,0.22,0.6735917415917411,25,16,1,66,5,2.156666666666666
ep000539,duffett-the-mock-tempest,duffett-the-mock-tempest,,,False,Duffett,"The Mock Tempest, or The Enchanted Castle",,0,ep000539-alonzo|ep000539-gonzalo,11,5,33,13,12,8,4,636,457,,18179,16353,1020,,,1675.0,1675,https://texts.earlyprint.org/works/A36759.xml,,,,,16.06451612903226,0.5354838709677421,0.9403146353090731,31,30,1,249,2,1.464516129032258
ep000572,fane-the-sacrifice,fane-the-sacrifice,,,False,Fane,The Sacrifice,,0,several characters,5,0,20,16,3,1,1,12,2266,,21632,19171,585,,,1687.0,1687,https://texts.earlyprint.org/works/A40875.xml,,,,,15.2,0.8,0.9194399554693671,20,19,1,152,2,1.2
ger######,feinde-verwirrte-haus-jacob,feinde-verwirrte-haus-jacob,,,False,Feind,Das verwirrte Haus Jacob,Oder das Gesicht der bestrafften Rebellion an Stilcke und Lütze,0,philomates,32,3,19,17,2,0,0,636,0,,13948,13121,877,,,1703.0,1703,https://books.google.de/books?id=tmhOAAAAcAAJ,,,,,6.421052631578948,0.35672514619883,0.7284221626326881,19,14,1,61,4,1.8538011695906431
ita000065,fiorillo-la-lucilla-costante,fiorillo-la-lucilla-costante,Q84269659,Comedy,False,Fiorillo,La Lucilla costante,,0,several characters,79,5,12,9,3,0,1,1477,70,0.0,37664,36152,443,1609,1632.0,,1609,http://www.bibliotecaitaliana.it/testo/bibit001052,UTET,Torino,1982.0,,11.0,1.0,1.0,12,11,1,66,1,1.0
ep000430,fletcher-a-wife-for-a-month,fletcher-a-wife-for-a-month,Q17026288,Tragicomedy,False,Fletcher,A Wife for a Month,,0,several characters,5,4,32,24,7,0,1,27,2653,0.0,23113,22618,376,1624,,,1624,https://texts.earlyprint.org/works/A27177_29.xml,,,,,20.25,0.6532258064516121,0.8835482523142241,32,31,1,324,2,1.346774193548387
ger######,frischlin-fraw-wendelgard,frischlin-fraw-wendelgard,,Comedy,False,Frischlin,Fraw Wendelgard,,0,ulrich|wendelgard,15,5,8,6,2,0,0,0,1474,,10884,9306,43,,1579.0,1589.0,1579,http://www.textgridrep.org/textgrid:n2m1.0,,,,,4.5,0.642857142857142,0.85595238095238,8,7,1,18,2,1.357142857142857
ep000021,fulwel-like-will-to-like,fulwel-like-will-to-like,,,False,Fulwel,Like Will to Like,,0,ep000021-vertuous-life,3,0,15,10,0,5,0,124,1081,,13007,11877,580,1568,,,1568,https://texts.earlyprint.org/works/A01353.xml,,,,,10.933333333333334,0.7809523809523811,0.902217782217782,15,14,1,82,2,1.219047619047619
fre000680,garnier-bradamante,garnier-bradamante,,Tragicomedy,False,Garnier,Bradamante,Tragi-Comédie,0,aymon,24,0,16,13,3,0,1,0,2015,,19284,17760,0,,,1582.0,1582,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/GARNIER_BRADAMANTE.xml', 'http://theatre-classique.fr/pages/documents/GARNIER_BRADAMANTE.xml']",,,,,5.125,0.341666666666666,0.676722582972583,16,11,2,41,3,1.723809523809524
fre######,garnier-hippolyte,garnier-hippolyte,,Tragedy,False,Garnier,Hippolyte,,0,choeur|phedre,9,5,8,5,3,0,1,0,2508,,19323,19291,17,,,1573.0,1573,"['https://fr.wikisource.org/wiki/Hippolyte_(Robert_Garnier)', 'https://books.google.de/books?id=lpwZAAAAYAAJ']",,,,,3.75,0.535714285714285,0.716666666666666,8,6,2,15,2,1.2857142857142851
ep000029,gascoigne-the-glass-of-government,gascoigne-the-glass-of-government,,Tragedy,False,Gascoigne,The Glass of Government,,0,ep000029-gnomaticus,37,5,18,15,3,0,1,427,287,,29677,26245,326,1575,,,1575,https://texts.earlyprint.org/works/A01520.xml,,,,,8.11111111111111,0.47712418300653603,0.7019489769489771,18,13,2,73,3,1.5073529411764701
ita######,gigli-i-litiganti,gigli-i-litiganti,,Comedy,False,Gigli,I litiganti,ovvero il giudice impazzato,0,several characters,47,3,13,10,3,0,0,1195,52,,23326,22918,640,1695,,,1695,https://www.usc.gal/goldoni/bancadati/124,,,,,8.307692307692308,0.6923076923076921,0.803540903540903,13,10,1,54,3,1.333333333333333
ita######,gigli-pazzo-guarisce,gigli-pazzo-guarisce,,Comedy,False,Gigli,Un pazzo guarisce l'altro,,0,several characters,52,3,10,8,2,0,0,1306,8,,21953,21183,985,,1687.0,,1687,https://www.usc.gal/goldoni/bancadati/53,,,,,9.0,1.0,1.0,10,9,1,45,1,1.0
fre000708,gilbert-telephonte,gilbert-telephonte,,Tragicomedy,False,Gilbert,Téléphonte,Tragi-Comédie,0,philoclee,22,5,12,8,4,0,0,0,1642,,14738,14374,0,,1645.0,1662.0,1645,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/GILBERT_TELEPHONTE.xml', 'http://theatre-classique.fr/pages/documents/GILBERT_TELEPHONTE.xml']",,,,,3.333333333333333,0.30303030303030304,0.6027777777777771,12,6,1,20,4,2.151515151515151
ita######,giusti-irene,giusti-irene,,Tragedy,False,Giusti,Irene,,0,choro,5,5,12,8,4,0,2,0,2122,,14572,14465,61,,,1579.0,1579,https://archive.org/details/bub_gb_hI7QteR5VG4C,,,,,6.5,0.59090909090909,0.775955988455988,12,11,1,39,2,1.409090909090909
ita######,graziani-cromuele,graziani-cromuele,,Tragedy,False,Graziani,Il Cromuele,,0,henrico,50,5,14,9,5,0,0,0,5074,,32370,31961,175,,,1671.0,1671,https://books.google.de/books?id=tFqzcNiPAw0C,,,,,5.714285714285714,0.43956043956043905,0.7286281179138321,14,10,1,40,3,1.6703296703296702
ger000547,gryphius-absurda-comica-oder-herr-peter-squentz,gryphius-absurda-comica-oder-herr-peter-squentz,Q333566,Comedy,False,Gryphius,Absurda Comica oder Herr Peter Squentz,Schimpff-Spiel,0,several characters,3,3,14,11,3,0,0,266,476,0.0,9535,9162,562,1648/1650,,1658.0,1658,http://www.textgridrep.org/textgrid:p8vz.0,,,,,11.0,0.846153846153846,0.9358974358974351,14,13,1,77,2,1.153846153846153
ger000538,gryphius-cardenio-und-celinde,gryphius-cardenio-und-celinde,Q42187675,Tragedy,False,Gryphius,Cardenio und Celinde oder Unglücklich Verliebete,Trauerspiel,0,cardenio,5,5,17,11,3,3,1,0,2069,0.0,19774,17542,214,1650,1661.0,1657.0,1657,http://www.textgridrep.org/textgrid:p7m9.0,,,,,9.176470588235293,0.5735294117647051,0.8663042839513421,17,15,1,78,3,1.441176470588235
ita000091,guarini-la-idropica,guarini-la-idropica,Q84173937,Comedy,False,Guarini,La idropica,,0,grillo|patrizio|moschetta,50,5,18,13,5,0,0,1460,17,0.0,37324,35743,149,1584,1608.0,1613.0,1584,http://www.bibliotecaitaliana.it/testo/bibit000722,Unione tipografico-editrice torinese,Torino,1971.0,,6.111111111111111,0.35947712418300604,0.679266720933387,18,13,1,55,3,1.712418300653594
ita000092,guidi-endimione,guidi-endimione,Q84174674,,False,Guidi,Endimione,,0,amore|cintia|endimione,5,5,5,2,2,1,2,0,1215,0.0,8005,6981,0,1688,1691.0,1692.0,1691,http://www.bibliotecaitaliana.it/testo/bibit000070,Longo,Ravenna,1981.0,,3.6,0.9,0.9,5,4,1,9,2,1.1
ger######,hallmann-liberata,hallmann-liberata,,Tragedy,False,Hallmann,Liberata,,0,alphonsus,59,5,24,12,6,6,1,88,2108,,21393,18108,651,,1699.0,1700.0,1699,http://www.textgridrep.org/textgrid:pj26.0,,,,,4.083333333333333,0.177536231884057,0.47390873015873003,24,14,4,49,4,2.104761904761905
ger######,hallmann-sophia,hallmann-sophia,,Tragedy,False,Hallmann,Sophia,,0,tod,26,5,72,32,13,26,4,0,2247,,21906,19170,781,,1671.0,1671.0,1671,http://www.textgridrep.org/textgrid:pj21.0,,,,,11.11111111111111,0.15649452269170502,0.9200186117993021,72,26,5,400,4,1.948015122873346
fre000755,hardy-meleagre,hardy-meleagre,,Tragedy,False,Hardy,Méléagre,Tragédie,0,meleagre,12,0,19,12,4,3,4,0,1257,,10989,10563,44,,1604.0,1604.0,1604,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/HARDY_MELEAGRE.xml', 'http://theatre-classique.fr/pages/documents/HARDY_MELEAGRE.xml']",,,,,6.421052631578948,0.35672514619883,0.819937664674506,19,14,1,61,4,1.801169590643274
ger######,hayneccius-hans-pfriem,hayneccius-hans-pfriem,,,False,Hayneccius,Hans Pfriem,,0,hans_pfriem,26,5,14,11,3,0,0,272,2234,,19883,16120,82,,,1582.0,1582,http://www.textgridrep.org/textgrid:pkjk.0,,,,,4.142857142857143,0.31868131868131805,0.7518552875695731,14,11,1,29,3,1.7802197802197801
ger######,hollonius-somnium-vitae-humanae,hollonius-somnium-vitae-humanae,,Comedy,False,Hollonius,Somnium Vitae Humanae,,0,reinart,24,5,48,45,3,0,0,0,1414,,12655,8966,356,,,1605.0,1605,http://www.textgridrep.org/textgrid:qfx0.0,,,,,8.208333333333334,0.174645390070921,0.730718231322914,48,19,1,197,5,2.417553191489361
ep000108,jonson-every-man-out-of-his-humour,jonson-every-man-out-of-his-humour,Q690716,Comedy,False,Jonson,Every Man Out of His Humour,,0,several characters,18,5,36,32,3,1,2,1465,730,0.0,41815,38883,767,1599,,,1599,https://texts.earlyprint.org/works/A04648.xml,,,,,35.0,1.0,1.0,36,35,1,630,1,1.0
ger######,krueger-anfang-ende-welt,krueger-anfang-ende-welt,,,False,Krüger,Von dem Anfang und Ende der Welt,,0,jesus_christus,25,6,50,37,5,8,3,0,2922,,20192,18339,807,,,1580.0,1580,http://www.textgridrep.org/textgrid:r2qz.0,,,,,8.56,0.17469387755102,0.799315294059674,50,23,1,214,4,2.281632653061224
cal000036,la-segunda-esposa,la-segunda-esposa,,,False,Calderón,La segunda esposa,Auto sacramental alegórico,0,several characters,1,1,13,8,5,0,0,0,1566,,8366,7813,779,1648,,1759.0,1648,http://www.cervantesvirtual.com/obra-visor/la-segunda-esposa--0/html/,,,,,12.0,1.0,1.0,13,12,1,78,1,1.0
cal000037,la-vida-es-sueno,la-vida-es-sueno,Q138174,,False,Calderón,La vida es sueño,,0,several characters,3,3,13,12,2,0,0,0,3455,0.0,17433,17043,442,1635,,1636.0,1636,http://www.cervantesvirtual.com/obra-visor/la-vida-es-sueno--0/html/,,,,,12.0,1.0,1.0,13,12,1,78,1,1.0
fre000826,lafont-naufrage,lafont-naufrage,,Comedy,False,Lafont,Le Naufrage ou La Pompe Funèbre de Crispin,Comédie,0,crispin,15,1,10,6,3,1,1,1,564,,5763,5112,431,,1710.0,1710.0,1710,"['http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/LAFONT_NAUFRAGE.xml', 'http://theatre-classique.fr/pages/documents/LAFONT_NAUFRAGE.xml']",,,,,5.8,0.644444444444444,0.7883333333333331,10,8,1,29,3,1.4
